crime_count_500m,violent_count_500m,PIN
1,0,1025039072
0,0,7973202210
81,5,3278611590
52,4,1504800060
112,18,7883607450
213,18,2767603231
70,3,1232001565
85,2,8818400090
37,0,9212900920
93,5,2770602370
94,13,3834500385
0,0,5427100010
1,0,0219400040
264,15,6431500285
54,5,7891600236
0,0,0321100165
176,29,7950300675
46,1,9523102281
47,4,3626039048
104,19,7548300714
27,3,3438500270
48,0,7454000865
0,0,1223039265
113,14,8822901340
5,0,8928100025
13,1,7625703941
44,3,2313900700
23,1,5318100540
0,0,6632900420
81,4,0066000180
0,0,5021900195
237,29,0993002257
29,1,3034200501
319,13,9528104092
73,8,3332000345
0,0,3622900170
0,0,3819800410
38,3,8143600050
6,0,0464000370
66,6,2856100090
0,0,7657000005
53,1,4242900332
21,2,1787600230
22,4,3878900730
14,0,2487200375
5,0,4218400680
4,0,4217401360
15,1,5039300305
37,6,3083000085
0,0,5453700120
0,0,5630500099
54,0,3856905355
72,9,1109000060
47,2,1498303925
24,1,2726049160
248,14,2920700195
54,5,9274700040
0,0,0623049259
10,0,5249801962
24,3,1121000330
5,0,2458400020
68,14,1166000115
201,8,3303700517
0,0,3649100130
77,10,1624049300
55,1,2288900087
46,1,8712100290
110,11,2113200350
75,8,5347200166
250,27,1453602413
509,38,8812401395
503,37,8812401395
38,0,3204300220
63,6,1932300680
171,8,1344300391
29,2,5081400670
28,4,5312100070
66,17,7320900180
44,1,9551200240
29,3,3438500277
0,0,5055800065
39,0,9376301800
17,0,4154304180
29,0,5249802285
58,2,7011201340
270,33,4340610120
140,17,1703400472
359,35,5005000030
35,5,3678900201
250,25,3126049478
128,2,3528900316
75,3,2770601457
141,9,3298700845
158,21,4356200015
26,2,5101407335
0,0,0795001230
20,2,1708400575
0,0,1180005290
106,8,1568100280
24,1,6338000600
41,7,2895650330
41,7,2895650370
294,33,9267200271
149,12,7133300082
69,3,1257201955
68,5,6728700156
209,24,9126100071
0,0,3578200090
0,0,4058201100
87,3,3363400640
46,0,0125039043
68,2,7517500080
170,19,9197950020
9,0,2490200595
167,9,1972200571
0,0,9388100014
38,4,7409700250
125,20,7883604690
110,5,3797001815
35,0,0442000065
0,0,6326000045
7,0,1769600203
91,17,7883604020
79,4,9209900085
0,0,2574900045
13,0,3179101900
26,1,3278613140
25,0,4321200371
190,8,9137100675
59,4,2491200850
67,5,7972602920
